  count         date            msg
commit 1     2016-11-30     2016-11-30
commit 1     2016-11-30     2016-11-30
commit 1     2016-11-30     2016-11-30
commit 2     2016-11-29     2016-11-29
commit 5     2016-11-26     2016-11-26
commit 8     2016-11-23     2016-11-23
commit 8     2016-11-23     2016-11-23
commit 11     2016-11-20     2016-11-20
commit 11     2016-11-20     2016-11-20
commit 12     2016-11-19     2016-11-19
commit 15     2016-11-16     2016-11-16
commit 16     2016-11-15     2016-11-15
commit 20     2016-11-11     2016-11-11
commit 22     2016-11-09     2016-11-09
commit 22     2016-11-09     2016-11-09
commit 23     2016-11-08     2016-11-08
commit 24     2016-11-07     2016-11-07
commit 24     2016-11-07     2016-11-07
commit 26     2016-11-05     2016-11-05
commit 27     2016-11-04     2016-11-04
commit 27     2016-11-04     2016-11-04
commit 27     2016-11-04     2016-11-04
commit 28     2016-11-03     2016-11-03
commit 28     2016-11-03     2016-11-03
commit 28     2016-11-03     2016-11-03
commit 29     2016-11-02     2016-11-02
commit 30     2016-11-01     2016-11-01
commit 30     2016-11-01     2016-11-01
commit 31     2016-10-31     2016-10-31
commit 32     2016-10-30     2016-10-30
commit 32     2016-10-30     2016-10-30
commit 33     2016-10-29     2016-10-29
commit 34     2016-10-28     2016-10-28
commit 34     2016-10-28     2016-10-28
commit 34     2016-10-28     2016-10-28
commit 36     2016-10-26     2016-10-26
commit 37     2016-10-25     2016-10-25
commit 37     2016-10-25     2016-10-25
commit 38     2016-10-24     2016-10-24
